057.wav,Angry,,Bad,,,Similar speaker
057.wav,Happy,,Fair,,,Similar speaker
057.wav,,Happy,,Noisy,,Same speaker
057.wav,,Happy,,Excellent,,Same speaker
058.wav,Happy,,Noisy,,,Similar speaker
058.wav,Angry,,Good,,,Same speaker
058.wav,Angry,,Noisy,,,Different speakers
058.wav,Happy,,Noisy,,,Different speakers
058.wav,Angry,,Bad,,,Same speaker
058.wav,Angry,,Good,,,Same speaker
058.wav,Happy,,Noisy,,,Different speakers
058.wav,Angry,,,Good,Same speaker,
058.wav,Happy,,Good,,,Similar speaker
058.wav,Happy,,,Excellent,Same speaker,
059.wav,Neutral,,Fair,,,Same speaker
059.wav,,Angry,,Noisy,,Same speaker
059.wav,Sad,,Fair,,,Similar speaker
059.wav,,Angry,Fair,,,Same speaker
059.wav,Sad,,Bad,,,Similar speaker
059.wav,Sad,,Bad,,,Hard to say
059.wav,Angry,,Noisy,,,Hard to say
059.wav,Neutral,,,Bad,Same speaker,
059.wav,,Angry,,Noisy,,Same speaker
059.wav,Happy,,Good,,,Same speaker
060.wav,,Angry,,Good,,Same speaker
060.wav,Happy,,Bad,,,Same speaker
060.wav,Happy,,Good,,,Similar speaker
060.wav,Angry,,Good,,,Same speaker
060.wav,Angry,,,Excellent,Same speaker,
060.wav,Happy,,Good,,,Similar speaker
060.wav,,Angry,,Noisy,,Same speaker
060.wav,Sad,,Good,,,Same speaker
060.wav,Happy,,Noisy,,,Same speaker
060.wav,Neutral,,Noisy,,,Hard to say
061.wav,Happy,,Excellent,,,Same speaker
061.wav,Angry,,Excellent,,,Same speaker
061.wav,Angry,,Excellent,,,Same speaker
061.wav,Happy,,Fair,,,Different speakers
061.wav,,Angry,,Noisy,,Same speaker
061.wav,Happy,,Good,,,Similar speaker
061.wav,Angry,,Noisy,,,Hard to say
061.wav,Angry,,Fair,,,Similar speaker
061.wav,Angry,,Fair,,,Same speaker
